Frequency;;nTaskUserLoopNoneCompensateNone;nTaskManualLoopNoneCompensateNone;nExclusiveGatewayNoMarker;nExclusiveGatewayMarker;nParallelGateway;nInclusiveGateway;nEventBasedGateway;nComplexGateway;nStartMultipleEventDefinition;nStartNoneEventDefinition;nStartSignalEventDefinition;nStartConditionalEventDefinition;nStartTimerEventDefinition;nEndNoneEventDefinition;nEndTerminateEventDefinition;nIntermediateCatchMultipleEventDefinition;nIntermediateCatchMessageEventDefinition;nIntermediateCatchTimerEventDefinition;nIntermediateCatchConditionalEventDefinition;nIntermediateCatchLinkEventDefinition;nIntermediateCatchSignalEventDefinition;nIntermediateThrowNoneEventDefinition;nIntermediateThrowLinkEventDefinition;nIntermediateBoundaryMessageEvent;nIntermediateBoundaryTimerEvent;nIntermediateBoundaryCancelEvent;nIntermediateBoundaryConditionalEvent;nSequenceFlow;nDefaultFlow;nConditionalFlow;nChoreographyTask;nChoreographyMessage;nChoreographyTaskSequentialMultipleInstance;nChoreographyTaskParallelMultipleInstance;nChoreographyTaskLoop;nChoreographySubprocessCollapsed;nChoreographySubprocessCollapsedParallelMultipleInstance;nChoreographySubprocessCollapsedCall;nChoreographySubprocessExpanded;nChoreographySubprocessExpandedSequentialMultipleInstance;nChoreographySubprocessExpandedParallelMultipleInstance;nChoreographyParticipant;nChoreographyParticipantMultiple;nAssociationUndirected;nAssociationUnidirectional;nGroup;nTextAnnotation
16;nIntermediateCatchLinkEventDefinition;-0,006356427;-0,006356427;-0,006356427;0,04914104;0,016343004;0,096578839;0,088271223;-0,013527767;-0,00899765;-0,03945746;-0,006356427;-0,023176426;-0,026060469;-0,029146731;-0,019542866;0,017253671;-0,019044745;-0,011982372;-0,012372337;1;0,0152868;-0,014470432;0,868323452;-0,00899765;-0,013527767;-0,00899765;-0,010222752;0,087864043;0,033476143;-0,018020091;0,05383064;0,10006864;-0,006356427;0,079875559;0,019486856;0,021379847;-0,012041116;-0,011030024;-0,035493817;-0,006356427;-0,011030024;0,083831193;0,025073294;-0,000328723;-0,012449727;0,017121461;-0,002436637
16;nIntermediateCatchSignalEventDefinition;-0,003957877;-0,003957877;-0,003957877;-0,016765795;0,128631979;0,060135534;-0,014328594;-0,008423165;-0,005602454;-0,013704731;0,130362569;-0,014430975;0,009996834;-0,08492692;-0,012168512;-0,008509407;-0,011858352;0,000183004;-0,007703728;0,0152868;1;-0,009010122;0,007527461;-0,005602454;-0,008423165;-0,005602454;-0,006365273;0,024288604;-0,017179518;-0,011220344;-0,025731579;-0,03210652;-0,003957877;-0,010681366;0,012133636;0,158539998;-0,007497491;-0,006867927;0,040402458;-0,003957877;-0,006867927;0,043163228;-0,013124726;0,012718843;-0,007751916;0,064063179;0,051116657
15;nInclusiveGateway;-0,004843715;-0,004843715;-0,004843715;0,243881854;0,09829763;1;-0,002998449;-0,010308409;-0,006856376;0,079839985;-0,004843715;-0,017660866;-0,01985856;0,059514274;-0,014892026;-0,010413954;-0,014512448;0,081922127;-0,00942795;0,096578839;0,060135534;-0,011026737;0,062376153;-0,006856376;-0,010308409;-0,006856376;-0,007789926;0,259101986;-0,021024578;-0,013731643;0,220556381;0,253783967;-0,004843715;-0,013072033;0,080307011;-0,035307784;-0,009175553;-0,008405083;-0,027046945;-0,004843715;-0,008405083;0,213427488;-0,016062258;0,096543574;-0,009486923;0,070559014;0,002624224
15;nIntermediateCatchMultipleEventDefinition;-0,003966777;-0,003966777;-0,003966777;0,045157784;0,035805736;-0,010413954;-0,023620432;0,042491934;-0,005615052;0,030543048;-0,003966777;-0,014463425;-0,016263234;0,339400987;0,007871882;1;0,038142615;0,018059327;-0,007721051;0,017253671;-0,008509407;-0,009030383;0,008863744;-0,005615052;-0,008442106;-0,005615052;-0,006379586;0,144784021;-0,017218148;-0,011245575;0,133752511;0,140937916;-0,003966777;-0,010705385;-0,012205795;-0,028915427;-0,00751435;-0,006883371;-0,022150186;-0,003966777;-0,006883371;0,126492721;-0,013154239;0,126039391;-0,007769347;-0,010724205;0,019274469
13;nStartConditionalEventDefinition;-0,006727196;-0,006727196;-0,006727196;-0,035015352;-0,065608113;-0,017660866;-0,058004099;-0,014316839;-0,009522481;-0,263340176;-0,006727196;1;0,027277487;-0,047061608;-0,020682797;-0,014463425;-0,020155621;-0,038666003;-0,013094013;-0,023176426;-0,014430975;0,037991712;-0,020767742;-0,009522481;-0,014316839;-0,009522481;-0,010819043;-0,040795198;-0,029199996;-0,019071199;-0,0169325;0,022365707;-0,006727196;-0,0181551;-0,020699621;-0,009836324;-0,012743472;-0,011673403;-0,037564163;-0,006727196;-0,011673403;-0,005042721;-0,022308074;-0,043266263;-0,013175917;-0,018187016;-0,028908617
12;nIntermediateThrowNoneEventDefinition;-0,004200192;-0,004200192;-0,004200192;0,00689864;-0,001525221;-0,011026737;0,131861326;-0,008938861;-0,005945455;-0,056816294;-0,004200192;0,037991712;0,205412417;0,065105818;-0,01291351;-0,009030383;0,000658484;0,17054418;0,203216515;-0,014470432;-0,009010122;1;-0,012966546;-0,005945455;-0,008938861;0,532118258;-0,006754977;0,071754528;-0,018231307;-0,011907292;0,00245487;-0,026305106;-0,004200192;-0,011335317;0,124678724;0,048928416;0,568095022;-0,007288405;0,042876036;-0,004200192;0,432445373;0,033421282;0,067394843;0,006183002;-0,008226515;-0,011355244;-0,008086167
12;nChoreographyTaskParallelMultipleInstance;-0,004979265;-0,004979265;-0,004979265;0,112716415;0,173515599;-0,013072033;0,172924026;-0,010596887;-0,007048249;0,096652736;-0,004979265;-0,0181551;-0,020414295;0,085183094;-0,015308775;-0,010705385;-0,014918574;0,227821711;-0,009691788;0,079875559;-0,010681366;-0,011335317;0,117117316;-0,007048249;0,602109223;-0,007048249;-0,008007925;0,175058954;-0,000352385;0,086738605;0,068505294;0,18059431;-0,004979265;1;0,310930788;-0,020579232;-0,009432328;-0,008640296;0,129461657;-0,004979265;-0,008640296;0,135288271;0,200404767;0,024672397;-0,009752411;-0,013461473;0,021123202
8;nChoreographyTaskSequentialMultipleInstance;-0,001845018;-0,001845018;-0,001845018;0,0433154;-0,017993853;-0,004843715;-0,015908356;-0,003926574;-0,002611661;0,00880421;-0,001845018;-0,006727196;-0,007564319;-0,01290724;-0,005672518;-0,003966777;-0,005527933;-0,010604639;-0,003591198;-0,006356427;-0,003957877;-0,004200192;-0,005695815;-0,002611661;-0,003926574;-0,002611661;-0,002967259;0,045614648;-0,008008467;-0,005230517;0,006234089;-0,010872675;1;-0,004979265;-0,005677132;-0,01344908;-0,003495058;-0,003201578;-0,010302446;-0,001845018;-0,003201578;0,045918021;-0,006118271;-0,013349267;-0,003613661;-0,004988019;-0,009241516
7;nIntermediateCatchConditionalEventDefinition;-0,003591198;-0,003591198;-0,003591198;0,151520638;-0,006121175;-0,00942795;0,051153796;-0,007642799;-0,005083413;0,039667689;-0,003591198;-0,013094013;-0,014723414;0,073802322;-0,011041157;-0,007721051;-0,010759732;-0,020641182;1;-0,012372337;-0,007703728;0,203216515;-0,011086503;-0,005083413;-0,007642799;0,389244196;-0,005775561;0,093374125;-0,015587917;-0,010180832;0,031795172;0,026651747;-0,003591198;-0,009691788;-0,011050138;0,002970264;-0,006802884;-0,006231646;0,07716818;-0,003591198;-0,006231646;0,040189091;-0,011908783;0,027622178;-0,007033737;-0,009708826;0,000996418
7;nIntermediateBoundaryConditionalEvent;-0,002967259;-0,002967259;-0,002967259;0,180728327;0,114347419;-0,007789926;-0,025584684;-0,00631493;-0,004200215;0,014159409;-0,002967259;-0,010819043;-0,01216535;0,273498463;-0,009122852;-0,006379586;-0,008890323;0,153229268;-0,005775561;-0,010222752;-0,006365273;-0,006754977;-0,00916032;-0,004200215;-0,00631493;-0,004200215;1;0,193731523;-0,012879653;-0,008412002;0,174507017;0,228964072;-0,002967259;-0,008007925;-0,009130273;-0,021629542;-0,005620942;-0,005148952;-0,016568954;-0,002967259;-0,005148952;0,162871597;-0,009839736;-0,021469018;-0,005811687;-0,008022003;-0,014862708
